ID,Sales
T1188341,53454.56
T1188342,33962.35
T1188343,61714.973
T1188344,36451.824
T1188345,36103.05
T1188346,61717.996
T1188347,53427.164
T1188348,44823.28
T1188349,48345.207
T1188350,31324.973
T1188351,47029.63
T1188352,36115.465
T1188353,35704.19
T1188354,39751.047
T1188355,38231.66
T1188356,31238.35
T1188357,45323.24
T1188358,22111.932
T1188359,33993.023
T1188360,47225.41
T1188361,28072.338
T1188362,35565.973
T1188363,38232.914
T1188364,28152.672
T1188365,36179.777
T1188366,31622.656
T1188367,36098.914
T1188368,30653.047
T1188369,36096.152
T1188370,45950.76
T1188371,36063.055
T1188372,47456.49
T1188373,30210.867
T1188374,31314.283
T1188375,61560.35
T1188376,56728.234
T1188377,31624.736
T1188378,36072.707
T1188379,27451.992
T1188380,61584.887
T1188381,31695.496
T1188382,36097.535
T1188383,29038.459
T1188384,31687.959
T1188385,41915.3
T1188386,35842.113
T1188387,61627.82
T1188388,57791.95
T1188389,30641.992
T1188390,80263.77
T1188391,35818.703
T1188392,50014.266
T1188393,60756.895
T1188394,43185.555
T1188395,35804.387
T1188396,61603.285
T1188397,35670.785
T1188398,39549.06
T1188399,36098.855
T1188400,45287.61
T1188401,34497.918
T1188402,22183.717
T1188403,61796.637
T1188404,34537.777
T1188405,35993.387
T1188406,23552.523
T1188407,53125.793
T1188408,36277.055
T1188409,41378.355
T1188410,24531.291
T1188411,53926.76
T1188412,22412.885
T1188413,35465.61
T1188414,27901.754
T1188415,36004.184
T1188416,39570.15
T1188417,46842.816
T1188418,36249.934
T1188419,46013.14
T1188420,57668.24
T1188421,22376.264
T1188422,50065.027
T1188423,57736.84
T1188424,35408.348
T1188425,36141.766
T1188426,35460.84
T1188427,57707.176
T1188428,36017.5
T1188429,60732.363
T1188430,45984.4
T1188431,35651.695
T1188432,20379.305
T1188433,53306.605
T1188434,36376.492
T1188435,29898.174
T1188436,45988.066
T1188437,57744.273
T1188438,24234.389
T1188439,47470.906
T1188440,36065.707
T1188441,32169.203
T1188442,34245.473
T1188443,35599.21
T1188444,38259.08
T1188445,34285.336
T1188446,27097.564
T1188447,61772.44
T1188448,53229.895
T1188449,36041.598
T1188450,36331.293
T1188451,47077.355
T1188452,20577.771
T1188453,45997.855
T1188454,31527.205
T1188455,61784.543
T1188456,24924.676
T1188457,27397.615
T1188458,34096.715
T1188459,61167.824
T1188460,22151.168
T1188461,43328.066
T1188462,35971.645
T1188463,22508.01
T1188464,45899.99
T1188465,34301.605
T1188466,31497.602
T1188467,24666.22
T1188468,36427.355
T1188469,35890.62
T1188470,19331.107
T1188471,35975.65
T1188472,41723.668
T1188473,41666.793
T1188474,45429.234
T1188475,19312.227
T1188476,44913.24
T1188477,36410.945
T1188478,35886.027
T1188479,19297.121
T1188480,43266.617
T1188481,48292.656
T1188482,41775.375
T1188483,48206.902
T1188484,48338.973
T1188485,28543.79
T1188486,22435.496
T1188487,36361.363
T1188488,35947.53
T1188489,35969.65
T1188490,48313.145
T1188491,36204.207
T1188492,30228.236
T1188493,31454.865
T1188494,48582.066
T1188495,25356.254
T1188496,45460.41
T1188497,24353.357
T1188498,35956.14
T1188499,35960.14
T1188500,56532.01
T1188501,31571.518
T1188502,35961.645
T1188503,31243.506
T1188504,30223.855
T1188505,32061.154
T1188506,45888.984
T1188507,36418.164
T1188508,35964.645
T1188509,25149.932
T1188510,35965.645
T1188511,32036.225
T1188512,38459.84
T1188513,30375.33
T1188514,36426.844
T1188515,57469.984
T1188516,35968.145
T1188517,49772.84
T1188518,36423.363
T1188519,45948.92
T1188520,22361.408
T1188521,47812.184
T1188522,35864.58
T1188523,28369.596
T1188524,41946.246
T1188525,61370.22
T1188526,28355.475
T1188527,35862.027
T1188528,31382.4
T1188529,45820.48
T1188530,35861.004
T1188531,48764.117
T1188532,36482.668
T1188533,36036.85
T1188534,36021.676
T1188535,53678.71
T1188536,61431.55
T1188537,57699.125
T1188538,57702.035
T1188539,45373.12
T1188540,38224.25
T1188541,35855.387
T1188542,61468.355
T1188543,35854.367
T1188544,36499.22
T1188545,35952.64
T1188546,27675.928
T1188547,36501.98
T1188548,47700.145
T1188549,28383.719
T1188550,34211.32
T1188551,36464.734
T1188552,19265.203
T1188553,35878.88
T1188554,61186.223
T1188555,36434.395
T1188556,53710.777
T1188557,22012.625
T1188558,27195.545
T1188559,34291.12
T1188560,35875.816
T1188561,38299.52
T1188562,25896.387
T1188563,36444.05
T1188564,57606.312
T1188565,38285.574
T1188566,40789.254
T1188567,45924.46
T1188568,21966.262
T1188569,35871.22
T1188570,36006.5
T1188571,25715.006
T1188572,61290.49
T1188573,30206.432
T1188574,36012.02
T1188575,36273.316
T1188576,61308.887
T1188577,36461.98
T1188578,30206.518
T1188579,34307.68
T1188580,34288.09
T1188581,31598.127
T1188582,27262.299
T1188583,31355.861
T1188584,28064.318
T1188585,80412.31
T1188586,36265.82
T1188587,46934.246
T1188588,31346.342
T1188589,27385.797
T1188590,36411.527
T1188591,28492.451
T1188592,32708.139
T1188593,21745.602
T1188594,62761.406
T1188595,30631.998
T1188596,37049.83
T1188597,80631.72
T1188598,62834.543
T1188599,54075.95
T1188600,31321.818
T1188601,43000.055
T1188602,26671.346
T1188603,73810.44
T1188604,35852.105
T1188605,46812.566
T1188606,27169.754
T1188607,50010.74
T1188608,41536.688
T1188609,26844.701
T1188610,57599.617
T1188611,29245.162
T1188612,45620.395
T1188613,46551.816
T1188614,52846.777
T1188615,30389.145
T1188616,56470.457
T1188617,29309.213
T1188618,46698.176
T1188619,22949.719
T1188620,35744.105
T1188621,30773.291
T1188622,35388.125
T1188623,45758.438
T1188624,25096.367
